evaluation_type,model_name,dataset,CFG,CCFG,SSIM,PSNR,MSE,COS,MSE-DPL,MSE-ISTD,Cos-DPL,Cos-ISTD,interpolation_pair
image_quality,Beta-VAE-0.20x1.00x_2.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,1.0,1.0,nan,16.685555,0.820745,0.123531,nan,nan,nan,nan,nan
smoothness,Beta-VAE-0.20x1.00x_2.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.004971,0.008263,0.009180,0.011716,admiral_to_cabbage_butterly
smoothness,Beta-VAE-0.20x1.00x_2.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002600,0.001721,0.006506,0.005972,monarch_to_admiral_butterfly
smoothness,Beta-VAE-0.20x1.00x_2.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.004160,0.002575,0.008749,0.006892,siamese_to_persian_cat
smoothness,Beta-VAE-0.20x1.00x_2.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003351,0.002401,0.006272,0.004447,red_panda_to_giant_panda
smoothness,Beta-VAE-0.20x1.00x_2.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.004163,0.003963,0.009882,0.006370,pembroke_corgi_to_cardigan_corgi
smoothness,Beta-VAE-0.20x1.00x_2.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003397,0.001942,0.011444,0.009036,husky_to_doberman
smoothness,Beta-VAE-0.20x1.00x_2.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003517,0.002827,0.009507,0.007779,grey_to_white_wolf
smoothness,Beta-VAE-0.20x1.00x_2.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002424,0.001687,0.008874,0.005164,horse_to_zebra
smoothness,Beta-VAE-0.20x1.00x_2.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002216,0.001407,0.006452,0.003541,camel_to_impala
smoothness,Beta-VAE-0.20x1.00x_2.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.004006,0.002713,0.007997,0.004853,lion_to_tiger
smoothness,Beta-VAE-0.20x1.00x_2.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003088,0.002424,0.009661,0.005776,snow_leopard_to_leopard
smoothness,Beta-VAE-0.20x1.00x_2.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.006002,0.007041,0.012494,0.014260,brown_to_icebear
smoothness,Beta-VAE-0.20x1.00x_2.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003751,0.005923,0.008182,0.011757,gibbon_to_orangutan
smoothness,Beta-VAE-0.20x1.00x_2.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002724,0.002410,0.008421,0.006468,lorikeet_to_peacock
smoothness,Beta-VAE-0.20x1.00x_2.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.004790,0.002864,0.009147,0.007016,macaw_to_toucan
smoothness,Beta-VAE-0.20x1.00x_2.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002268,0.002423,0.008068,0.005578,penguin_to_cockatoo
smoothness_average,Beta-VAE-0.20x1.00x_2.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003589,0.003287,0.008802,0.007289,ALL_PAIRS
