evaluation_type,model_name,dataset,CFG,CCFG,SSIM,PSNR,MSE,COS,MSE-DPL,MSE-ISTD,Cos-DPL,Cos-ISTD,interpolation_pair
image_quality,Beta-VAE-0.20x1.00x_1.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,1.0,1.0,nan,16.913834,0.778239,0.126988,nan,nan,nan,nan,nan
smoothness,Beta-VAE-0.20x1.00x_1.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.005284,0.004731,0.012072,0.010608,admiral_to_cabbage_butterly
smoothness,Beta-VAE-0.20x1.00x_1.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003139,0.001147,0.009136,0.004069,monarch_to_admiral_butterfly
smoothness,Beta-VAE-0.20x1.00x_1.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.004729,0.002480,0.011979,0.009612,siamese_to_persian_cat
smoothness,Beta-VAE-0.20x1.00x_1.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003720,0.001772,0.008900,0.004349,red_panda_to_giant_panda
smoothness,Beta-VAE-0.20x1.00x_1.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.005080,0.003437,0.014031,0.008136,pembroke_corgi_to_cardigan_corgi
smoothness,Beta-VAE-0.20x1.00x_1.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.004375,0.002766,0.015520,0.011817,husky_to_doberman
smoothness,Beta-VAE-0.20x1.00x_1.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.004501,0.004860,0.013631,0.019635,grey_to_white_wolf
smoothness,Beta-VAE-0.20x1.00x_1.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003756,0.001985,0.014527,0.007842,horse_to_zebra
smoothness,Beta-VAE-0.20x1.00x_1.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003076,0.001689,0.010200,0.004511,camel_to_impala
smoothness,Beta-VAE-0.20x1.00x_1.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.004576,0.003063,0.010598,0.006122,lion_to_tiger
smoothness,Beta-VAE-0.20x1.00x_1.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003849,0.002666,0.013627,0.008624,snow_leopard_to_leopard
smoothness,Beta-VAE-0.20x1.00x_1.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.006157,0.005899,0.015093,0.013740,brown_to_icebear
smoothness,Beta-VAE-0.20x1.00x_1.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.004265,0.002571,0.010857,0.006484,gibbon_to_orangutan
smoothness,Beta-VAE-0.20x1.00x_1.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003549,0.002360,0.012258,0.007075,lorikeet_to_peacock
smoothness,Beta-VAE-0.20x1.00x_1.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.005363,0.002870,0.012653,0.008390,macaw_to_toucan
smoothness,Beta-VAE-0.20x1.00x_1.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003299,0.003586,0.013350,0.009704,penguin_to_cockatoo
smoothness_average,Beta-VAE-0.20x1.00x_1.0b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.004295,0.002993,0.012402,0.008795,ALL_PAIRS
