evaluation_type,model_name,dataset,CFG,CCFG,SSIM,PSNR,MSE,COS,MSE-DPL,MSE-ISTD,Cos-DPL,Cos-ISTD,interpolation_pair
image_quality,Beta-VAE-0.40x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,1.0,1.0,nan,18.932388,0.529754,0.337384,nan,nan,nan,nan,nan
smoothness,Beta-VAE-0.40x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003906,0.002767,0.005681,0.004768,admiral_to_cabbage_butterly
smoothness,Beta-VAE-0.40x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002995,0.001254,0.005394,0.003673,monarch_to_admiral_butterfly
smoothness,Beta-VAE-0.40x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003779,0.002171,0.005884,0.004682,siamese_to_persian_cat
smoothness,Beta-VAE-0.40x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003160,0.001944,0.004742,0.003128,red_panda_to_giant_panda
smoothness,Beta-VAE-0.40x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.004177,0.002991,0.007549,0.004741,pembroke_corgi_to_cardigan_corgi
smoothness,Beta-VAE-0.40x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003464,0.001911,0.007724,0.004923,husky_to_doberman
smoothness,Beta-VAE-0.40x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003622,0.002236,0.007002,0.005131,grey_to_white_wolf
smoothness,Beta-VAE-0.40x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003034,0.001509,0.008206,0.005282,horse_to_zebra
smoothness,Beta-VAE-0.40x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002322,0.001238,0.005291,0.002606,camel_to_impala
smoothness,Beta-VAE-0.40x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003582,0.002796,0.005787,0.004249,lion_to_tiger
smoothness,Beta-VAE-0.40x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002611,0.001738,0.006623,0.003745,snow_leopard_to_leopard
smoothness,Beta-VAE-0.40x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.005009,0.004624,0.007808,0.006475,brown_to_icebear
smoothness,Beta-VAE-0.40x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003346,0.002153,0.005760,0.003455,gibbon_to_orangutan
smoothness,Beta-VAE-0.40x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003050,0.002089,0.007224,0.004823,lorikeet_to_peacock
smoothness,Beta-VAE-0.40x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.004625,0.002187,0.006337,0.003720,macaw_to_toucan
smoothness,Beta-VAE-0.40x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002819,0.001609,0.007163,0.003865,penguin_to_cockatoo
smoothness_average,Beta-VAE-0.40x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003469,0.002201,0.006511,0.004329,ALL_PAIRS
