evaluation_type,model_name,dataset,CFG,CCFG,SSIM,PSNR,MSE,COS,MSE-DPL,MSE-ISTD,Cos-DPL,Cos-ISTD,interpolation_pair
image_quality,Beta-VAE-0.30x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,1.0,1.0,nan,18.375851,0.663441,0.249560,nan,nan,nan,nan,nan
smoothness,Beta-VAE-0.30x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003925,0.002927,0.005890,0.005310,admiral_to_cabbage_butterly
smoothness,Beta-VAE-0.30x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002744,0.001210,0.005182,0.003201,monarch_to_admiral_butterfly
smoothness,Beta-VAE-0.30x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003721,0.002119,0.005779,0.004526,siamese_to_persian_cat
smoothness,Beta-VAE-0.30x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002943,0.001739,0.004417,0.002808,red_panda_to_giant_panda
smoothness,Beta-VAE-0.30x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003870,0.002984,0.007049,0.004442,pembroke_corgi_to_cardigan_corgi
smoothness,Beta-VAE-0.30x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003092,0.001832,0.006947,0.004291,husky_to_doberman
smoothness,Beta-VAE-0.30x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003310,0.002159,0.006518,0.004956,grey_to_white_wolf
smoothness,Beta-VAE-0.30x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002721,0.001467,0.007362,0.004347,horse_to_zebra
smoothness,Beta-VAE-0.30x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002239,0.001170,0.005262,0.002495,camel_to_impala
smoothness,Beta-VAE-0.30x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003522,0.002479,0.005756,0.003886,lion_to_tiger
smoothness,Beta-VAE-0.30x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002501,0.001715,0.006288,0.003586,snow_leopard_to_leopard
smoothness,Beta-VAE-0.30x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.004745,0.004680,0.007379,0.006127,brown_to_icebear
smoothness,Beta-VAE-0.30x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003304,0.002170,0.005687,0.003707,gibbon_to_orangutan
smoothness,Beta-VAE-0.30x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002863,0.001928,0.006880,0.004441,lorikeet_to_peacock
smoothness,Beta-VAE-0.30x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.004396,0.002144,0.006222,0.003686,macaw_to_toucan
smoothness,Beta-VAE-0.30x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002388,0.001632,0.006325,0.003638,penguin_to_cockatoo
smoothness_average,Beta-VAE-0.30x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003268,0.002147,0.006184,0.004090,ALL_PAIRS
