evaluation_type,model_name,dataset,CFG,CCFG,SSIM,PSNR,MSE,COS,MSE-DPL,MSE-ISTD,Cos-DPL,Cos-ISTD,interpolation_pair
image_quality,Beta-VAE-0.20x0.20x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,1.0,1.0,nan,17.794809,0.656819,0.091000,nan,nan,nan,nan,nan
smoothness,Beta-VAE-0.20x0.20x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000214,0.000426,0.006146,0.006935,admiral_to_cabbage_butterly
smoothness,Beta-VAE-0.20x0.20x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000068,0.000081,0.002800,0.001881,monarch_to_admiral_butterfly
smoothness,Beta-VAE-0.20x0.20x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000368,0.000453,0.007526,0.004504,siamese_to_persian_cat
smoothness,Beta-VAE-0.20x0.20x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000191,0.000292,0.005294,0.004052,red_panda_to_giant_panda
smoothness,Beta-VAE-0.20x0.20x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000387,0.000695,0.010537,0.011107,pembroke_corgi_to_cardigan_corgi
smoothness,Beta-VAE-0.20x0.20x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000108,0.000152,0.007068,0.006737,husky_to_doberman
smoothness,Beta-VAE-0.20x0.20x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000169,0.000329,0.006206,0.004578,grey_to_white_wolf
smoothness,Beta-VAE-0.20x0.20x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000057,0.000082,0.004321,0.002883,horse_to_zebra
smoothness,Beta-VAE-0.20x0.20x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000069,0.000091,0.003727,0.002018,camel_to_impala
smoothness,Beta-VAE-0.20x0.20x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000297,0.000747,0.006078,0.007230,lion_to_tiger
smoothness,Beta-VAE-0.20x0.20x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000087,0.000128,0.005288,0.003575,snow_leopard_to_leopard
smoothness,Beta-VAE-0.20x0.20x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000645,0.000849,0.014810,0.012410,brown_to_icebear
smoothness,Beta-VAE-0.20x0.20x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000172,0.000274,0.005060,0.004097,gibbon_to_orangutan
smoothness,Beta-VAE-0.20x0.20x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000163,0.000315,0.006553,0.005424,lorikeet_to_peacock
smoothness,Beta-VAE-0.20x0.20x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000395,0.000561,0.009358,0.007553,macaw_to_toucan
smoothness,Beta-VAE-0.20x0.20x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000088,0.000150,0.004646,0.003290,penguin_to_cockatoo
smoothness_average,Beta-VAE-0.20x0.20x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000217,0.000351,0.006589,0.005517,ALL_PAIRS
